T_K	rho_1e-6_ohms.m	sigma_1e3_S/m	S_1e-6_V/K	PF_1e-6_W/m/K^2	Nc_1e20_cm^-3	Ef_eV
942.1476510067114	12.882602572936282	77.62406659200958	-160.43945859363006	1.9981071160181052	-3.140114220585791	0.07741450607078322
948.1879194630873	13.01530916525374	76.83259669848223	-161.13786474645264	1.9949899864357048	-3.119580606346319	0.07581016676840877
954.228187919463	13.147210974754298	76.06175955647417	-161.825072412493	1.9918562280315129	-3.1041680851774918	0.07441644693037436
960.2684563758389	13.2769160238157	75.3186958632737	-162.48554206360288	1.988530418686434	-3.094438095708211	0.07323366815827716
966.3087248322148	13.402786969665605	74.61134779380512	-163.1021105340904	1.9848333425640026	-3.090820128060687	0.0722395188031378
972.3489932885906	13.522969592847094	73.94825471832347	-163.65693092823398	1.9805998125600899	-3.0935935052059627	0.07148599868464627
978.3892617449665	13.635438305250698	73.33830989612726	-164.13251202098752	1.9756960428581039	-3.1028744787966214	0.07097982064941788
984.4295302013422	13.738057811228488	72.79049293144426	-164.51277638346951	1.970034917983598	-3.118609340681916	0.07072826590154194
990.4697986577181	13.828658796105113	72.31359271671764	-164.7840565378077	1.963587770109951	-3.140574008171189	0.07069778480227863
996.510067114094	13.905124267646393	71.91593406516617	-164.93595535717756	1.956391675900459	-3.1683802717503786	0.07088012316754998
1002.5503355704698	13.965482043994042	71.60511873845824	-164.96200951905843	1.9485517577439329	-3.2014886103224383	0.07127585700869983
1008.5906040268457	14.007997978334284	71.38778871518025	-164.8601114990861	1.9402384555971348	-3.2392271938562707	0.07182229757043802
1014.6308724832214	14.031263943278462	71.26941692797675	-164.63266455889854	1.9316801643337815	-3.2808164196134175	0.07249389542549872
1020.6711409395973	14.034274456645445	71.25412881793007	-164.28646465541036	1.9231519628856337	-3.3253980784319737	0.07331101710432712
1026.711409395973	14.016486176257086	71.34455721819408	-163.83232162268965	1.914961372683204	-3.3720680334959385	0.0741495333427058
1032.751677852349	13.977855345867031	71.541733352941	-163.28444815119008	1.9074321738436102	-3.4199111255682375	0.07502970788964893
1038.7919463087248	13.91884961199799	71.84501793438476	-162.65965824147827	1.9008872972108042	-3.4680369038405927	0.07593732041442812
1044.8322147651006	13.840432376249488	72.25207802871995	-161.97642659053815	1.8956317301229852	-3.5156147258862367	0.07676995888249245
1050.8724832214766	13.744019875469426	72.75891690063821	-161.2538667784746	1.8919362593050606	-3.5619067765414956	0.07757568079440309
1056.9127516778524	13.631413328365865	73.35996465744907	-160.51068939550672	1.8900227576995778	-3.6062976239617113	0.07830665724889498
1062.9530201342282	13.504710559658989	74.04823639739313	-159.76420171577928	1.8900516258472657	-3.6483190588273944	0.07892366987746227
